StandardizedNames,Source,SourceNames
Phocaeicola plebeius,Alice_hCOMs-updated,Bacteroides-plebeius-DSM-17135
Phocaeicola vulgatus,Alice_hCOMs-common,Bacteroides-vulgatus-ATCC-8482
Phocaeicola vulgatus,Maier,Bacteroides vulgatus
Phocaeicola vulgatus,Zimmermann,Bacteroides vulgatus
Prevotella buccae,Alice_hCOMs-updated,Prevotella-buccae-D17
Prevotella copri,Alice_hCOMs-updated,Prevotella-copri-DSM-18205
Prevotella copri,Maier,Prevotella copri
Prevotella copri,Zimmermann,Pretovella copri
Proteus penneri,Zimmermann,Proteus penneri
Providencia alcalifaciens,Zimmermann,Providencia alcalifaciens
Providencia rettgeri,Zimmermann,Providencia rettgeri
Providencia stuartii,Zimmermann,Providencia stuartii
Roseburia hominis,Maier,Roseburia hominis
Roseburia intestinalis,Alice_hCOMs-updated,Roseburia-intestinalis-L1-82
Roseburia intestinalis,Maier,Roseburia intestinalis
Roseburia intestinalis,Zimmermann,Roseburia intestinalis
Roseburia inulinivorans,Alice_hCOMs-common,Roseburia-inulinivorans-DSM-16841
Ruminococcus albus,Alice_hCOMs-updated,Ruminococcus-albus-strain-8
Ruminococcus bromii,Alice_hCOMs-common,Ruminococcus-bromii-ATCC-27255
Ruminococcus bromii,Maier,Ruminococcus bromii
Ruminococcus flavefaciens,Alice_hCOMs-updated,Ruminococcus-flavefaciens-FD-1
Ruminococcus gauvreauii,Alice_hCOMs-new,Ruminococcus-gauvreauii-DSM-19829
Salmonella enterica subsp. enterica serovar Typhimurium,Zimmermann,Salmonella typhimurium
Slackia exigua,Alice_hCOMs-updated,Slackia-exigua-ATCC-700122
Slackia heliotrinireducens,Alice_hCOMs-common,Slackia-heliotrinireducens-DSM-20476
Solobacterium moorei,Alice_hCOMs-updated,Solobacterium-moorei-DSM-22971
Streptococcus parasanguinis,Maier,Streptococcus parasanguinis
Streptococcus salivarius,Maier,Streptococcus salivarius
Streptococcus thermophilus,Alice_hCOMs-common,Streptococcus-thermophilus-ATCC-19258
Subdoligranulum sp.,Alice_hCOMs-new,Subdoligranulum-sp-4-3-54A2FAA
Subdoligranulum variabile,Alice_hCOMs-updated,Subdoligranulum-variabile-DSM-15176
Subdoligranulum variabile,Zimmermann,Subdoligranulum variabile
Thomasclavelia ramosa,Maier,Clostridium ramosum
Thomasclavelia ramosa,Zimmermann,Clostridium ramosum
Thomasclavelia spiroformis,Alice_hCOMs-updated,Clostridium-spiroforme-DSM-1552
Thomasclavelia spiroformis,Zimmermann,Clostridium spiroforme
Veillonella dispar,Alice_hCOMs-updated,Veillonella-dispar-ATCC-17748
Veillonella dispar,Alice_hCOMs-removed,Veillonella-sp-3-1-44
Veillonella parvula,Maier,Veillonella parvula
Veillonella parvula,Alice_hCOMs-removed,Veillonella-sp-6-1-27
Victivallis vadensis,Zimmermann,Victivallis vadensis
